LATITUDE,LONGITUDE,ID,percapitai
40.7556076050,-73.9841308590,227,31434
40.7563552860,-73.9781265260,228,95786
40.7571258540,-73.9913635250,229,83679
40.7579956050,-73.9919586180,230,83679
40.7596282960,-73.9852371220,231,120734
40.7597427370,-73.9736251830,232,78950
40.7601585390,-73.9760055540,233,78950
40.7601585390,-73.9760055540,234,78950
40.7606048580,-73.9796142580,235,119527
40.7617950440,-73.9795455930,236,83278
40.7630882260,-73.9726257320,237,220211
40.7647056580,-73.9663620000,238,157637
40.7647666930,-73.9770889280,239,114837
40.7652206420,-73.9820251460,240,114837
40.7658653260,-73.9574279790,241,133277
40.7663078310,-73.9829559330,242,114837
40.7794647220,-73.9536972050,243,108412
40.7858848570,-73.9509201050,244,60808
40.7952346800,-73.9655303960,245,75589
40.7956886290,-73.9325485230,246,26698
40.7967872620,-73.9705963130,247,79814
40.8196296690,-73.9303894040,248,19512
40.8353958130,-73.8615112300,249,21629
40.8471221920,-73.8443527220,250,15387
40.8654060360,-73.9267501830,251,18998
40.8732337950,-73.9087295530,252,17246
40.8735656740,-73.9085159300,253,17246
40.8857803340,-73.9099731450,254,47571
